scene,lap2mean_mean,lap2mean_std,lap2mean_max,lap2mean_min,lap2mean_median,lap2std_mean,lap2std_std,lap2std_max,lap2std_min,lap2std_median,bitrate,ssim
hevc_97_10_7,11.81933904,2.953920353,17.70780809,9.300453946,10.10720769,11.38072554,2.812713818,17.06107712,8.964567184,9.697757721,216.73,0.9420319
hevc_97_18_8,10.38050373,1.411940208,13.60393611,7.972114361,9.914121654,9.688768485,1.492077353,12.9969759,7.049316883,9.316203117,265.1,0.941944
hevc_97_30_4,8.546869515,0.696151075,8.981496652,4.153918767,8.702864151,8.295026066,0.711988211,8.765725136,3.818930387,8.403159618,129.61,0.9718871
hevc_97_42_5,9.567381267,0.24899468,10.21258116,9.034309687,9.497074681,9.304247795,0.236964797,9.883947372,8.724849701,9.272565842,71.84,0.9717989
hevc_97_48_5,16.21291885,0.276646241,16.77315731,15.44079209,16.22860859,14.99124937,0.271109285,15.48042107,14.24927139,15.02228737,119.85,0.9781621
hevc_97_54_5,3.53638216,0.967783463,5.428509525,2.364187121,3.169402864,3.229377235,0.950469961,5.091026783,2.095449686,2.862206459,47.47,0.9903524
hevc_97_63_10,5.819007833,0.765042091,7.023149902,4.115431583,6.024006565,4.84686711,0.751717489,5.970582485,3.139744759,5.090852261,90.02,0.9837804
hevc_97_75_2,4.40485656,0.124694892,4.855399023,4.230125857,4.378570171,4.089676504,0.124870476,4.54051733,3.915821552,4.064140558,27.35,0.9758591
hevc_97_79_2,3.059253066,0.115989351,3.312786306,2.820963861,3.063807379,2.121883123,0.145944422,2.410643339,1.872867227,2.109128356,89.36,0.9784642
hevc_97_82_4,2.812271671,0.137639329,3.194000199,2.517848862,2.821801356,2.170714785,0.15024508,2.588475227,1.853779912,2.188681483,28.46,0.9814693
hevc_97_87_5,3.684850071,0.585832852,4.610997836,2.628758873,3.902319556,3.199902431,0.628084226,4.178201199,2.052839041,3.469345093,35.65,0.9837231
hevc_97_101_6,4.250146261,0.774351832,5.838140233,2.936629308,4.136736741,3.3144616,0.79385076,4.883264065,2.010308027,3.234040141,76.41,0.9846225
hevc_97_111_3,8.128595985,0.561239527,9.072910827,6.736637594,8.293358354,6.311710281,0.410505257,7.104799271,5.289635658,6.374684811,161.1,0.9337096
hevc_97_115_5,13.05294197,0.426511659,14.14655004,12.29262926,12.99717564,12.13892215,0.244973123,12.86827469,11.67528439,12.10184956,222.7,0.9459731
hevc_97_121_4,21.15241523,3.889631206,28.07553593,12.65886897,21.44700723,20.77924944,3.802669443,27.30076408,12.65455914,20.64079952,239.65,0.9609055
hevc_98_29_4,14.17554735,1.086329219,16.82319522,10.99355995,14.3439461,13.76403811,1.034122278,16.3342514,10.78090954,13.88076591,400,0.9643395
hevc_98_61_4,11.39186161,1.138750424,14.44659692,9.177775316,11.11863485,11.19091842,1.219289036,14.70889854,9.46944046,10.70966768,782.14,0.9424808
hevc_98_71_5,14.08309869,2.339689165,18.37183005,10.26840084,13.60477507,13.10942263,1.755851456,16.44140816,9.93530941,13.11591816,303.8,0.9841427
hevc_98_86_3,39.29626362,1.762069182,42.75728505,34.03035503,39.45057696,33.70611059,1.560007693,36.87909317,30.01430511,33.88098526,759.23,0.9772413
