clips,flow_1,flow_2,flow_3,flow_4,flow_5,flow_6,flow_7,flow_8,flow_9,flow_10,mean
hevc_5_211_7,17.19925449,12.74390321,11.26634575,6.097361177,5.201264766,5.14581098,4.803616974,3.82774983,3.282158317,3.143848156,7.271131365
hevc_5_224_4,29.30526835,25.81344501,20.43748142,18.46356503,12.84281635,12.82740096,12.54068676,12.4038026,12.31289814,11.98122813,16.89285928
hevc_5_232_8,3.018249942,2.358859347,2.298464964,1.974356504,1.910025843,1.903479986,1.598692585,0.963597331,0.523479078,0.418829103,1.696803468
hevc_6_20_6,10.2977502,10.1753488,9.696844712,9.521809564,9.201314149,7.917134042,7.903031041,7.729567502,7.672427159,7.611316685,8.772654386
hevc_6_29_2,0.620818909,0.597860385,0.580811469,0.551208962,0.499845303,0.49225028,0.487522527,0.40551809,0.403344286,0.403223495,0.504240371
hevc_6_43_3,12.86760295,9.995392698,9.674542045,9.465869202,8.366955296,6.428852453,5.438894975,5.022287096,2.840887333,2.540078721,7.264136277
hevc_6_63_3,14.10553593,12.62237541,11.20083199,10.31947856,8.247286175,8.078153886,6.237685127,5.536386456,5.403714864,3.564290691,8.531573908
hevc_6_75_5,0.454213642,0.441392217,0.389756099,0.384159343,0.289147252,0.241724372,0.234311705,0.172997105,0.058006941,0.030031223,0.26957399
hevc_6_102_6,40.97897532,40.47429356,31.5873088,30.06936551,22.77321427,17.03549292,15.62439194,14.29705459,12.99441899,12.60491937,23.84394353
hevc_6_158_3,0.156491598,0.118956774,0.117549923,0.091946646,0.082920653,0.080078356,0.067318116,0.066481908,0.064973486,0.061008606,0.090772606
hevc_6_179_2,0.085373175,0.08523244,0.084500139,0.0839417,0.083687653,0.080850005,0.075799269,0.074604015,0.072445626,0.071680536,0.079811456
hevc_6_182_3,1.430832122,1.187561137,1.077178637,0.930088193,0.730689694,0.686336125,0.446740379,0.307307511,0.238101998,0.124521719,0.715935752
hevc_6_263_8,15.73432639,14.93279472,12.64774665,11.94695056,11.72431037,11.09080734,10.71360494,8.535870613,8.527419921,5.669474053,11.15233056
hevc_6_327_2,64.80744027,51.343071,44.24372868,42.36194988,34.36814882,33.05002758,31.54438042,28.85093346,28.46617903,27.34500774,38.63808669
hevc_6_344_4,12.11913067,11.96806613,11.62988235,10.74095777,10.14130672,7.77266594,6.929947734,5.368754843,3.752935566,3.497193776,8.392084149
hevc_8_0_2,148.4994321,123.0291396,91.43437759,87.90440908,83.37971238,79.24296142,62.41106222,62.12831908,47.16406656,40.02387053,82.52173505
hevc_9_1_12,0.358720517,0.309371318,0.307991407,0.276714369,0.2543491,0.24832223,0.242132062,0.238917605,0.23833291,0.228350773,0.270320229
hevc_12_1_4,3.714803065,3.492521904,2.148035604,2.0680412,1.940317726,1.831300935,1.65655442,1.014698266,1.00530394,0.925267478,1.979684454
hevc_12_6_3,46.94252087,46.50067644,44.81493612,39.62400713,38.88433171,38.39802546,38.36444329,33.29927379,26.66515177,26.55233811,38.00457047
hevc_13_15_3,0.175696235,0.138173687,0.119417835,0.013021904,0.01115197,0.010739928,0.009208726,0.007987655,0.006684302,0.006544206,0.049862645
hevc_13_19_3,0.00561934,0.005443593,0.005400675,0.005231657,0.004953392,0.004413864,0.004093879,0.004005167,0.003968558,0.003792797,0.004692292
hevc_13_30_8,0.012853555,0.01266826,0.011629272,0.010617434,0.010403341,0.010276245,0.00988048,0.008606459,0.008304552,0.008259032,0.010349863
hevc_13_39_3,0.089021571,0.08891395,0.087195537,0.068321648,0.06684356,0.06091975,0.05897423,0.056658032,0.0517192,0.044101389,0.067266887
hevc_13_43_2,0.142178989,0.114670402,0.111769807,0.108382816,0.097108508,0.086541259,0.073893592,0.069937091,0.063492199,0.061591213,0.092956588
hevc_13_53_5,0.002009193,0.001990974,0.001893681,0.001652091,0.00161777,0.001595861,0.001557742,0.001478589,0.001383221,0.001306973,0.00164861
hevc_19_0_14,0.014471475,0.008096362,0.005948749,0.00551993,0.005493138,0.003652583,0.002242481,0.002112784,0.002091813,0.001918332,0.005154765
hevc_19_15_3,0.228211141,0.227932528,0.164077533,0.138637873,0.133270874,0.132551509,0.129884824,0.117055834,0.078460859,0.073532313,0.142361529
hevc_20_9_2,0.244755841,0.231954847,0.231660893,0.209503511,0.203713055,0.202291837,0.194936516,0.187246185,0.171970046,0.154948981,0.203298171
hevc_20_17_2,15.51389822,14.26223448,13.89531601,8.977874357,1.157713715,1.112768394,0.857919231,0.767867449,0.407697391,0.393176436,5.734646567
hevc_20_39_2,0.017228203,0.016942966,0.016428478,0.014949312,0.014565731,0.014560573,0.014344372,0.014284451,0.014263634,0.013166751,0.015073447
hevc_20_74_3,0.222102782,0.220563375,0.201879705,0.154247482,0.141432217,0.14078912,0.119565095,0.114660365,0.081002947,0.080695686,0.147693877
hevc_20_80_3,0.132185886,0.108479943,0.102784765,0.099386453,0.087983135,0.085542105,0.082767516,0.08220055,0.05237602,0.05060231,0.088430868
hevc_20_84_8,0.582955802,0.360231147,0.346717971,0.309059037,0.284889926,0.24534287,0.21113875,0.195988898,0.152769903,0.143076913,0.283217122
hevc_20_93_2,0.140432196,0.138329086,0.117297349,0.107898064,0.095689808,0.095285273,0.076570817,0.057124746,0.055965859,0.041999969,0.092659317
hevc_20_99_7,0.131688325,0.121398234,0.091423465,0.091131515,0.076099867,0.075458085,0.046822293,0.04614225,0.044678743,0.042379046,0.076722182
hevc_20_110_2,17.11812981,17.09046458,16.76104576,15.32181755,11.96840486,11.88914367,11.36692466,9.286306695,7.497231428,4.766802623,12.30662716
hevc_20_117_5,11.75168609,10.66019233,10.44347355,8.356806788,7.618559251,7.413488032,5.76974538,5.471801869,3.694079363,3.57343216,7.475326481
hevc_20_123_3,0.699548583,0.43820016,0.413850885,0.375608348,0.363085355,0.354901373,0.281501317,0.232609219,0.194093616,0.189783605,0.354318246
hevc_20_127_3,3.252923415,3.205163866,3.195211596,3.185829172,2.981684857,2.603403396,2.138773869,2.027299351,1.966603885,1.863593572,2.642048698
hevc_20_142_4,8.115086748,7.327543368,6.98558888,6.790537744,6.306920494,6.046168409,5.88825365,5.536902023,5.290784912,5.191192493,6.347897872
hevc_20_182_2,1.509949058,1.437292172,1.314089963,1.168874457,0.909945167,0.867678879,0.780894596,0.589812173,0.377331606,0.3359073,0.929177537
hevc_20_199_5,0.038631423,0.033303032,0.026616067,0.026114085,0.026098002,0.022537915,0.02145057,0.021188674,0.02095431,0.020067642,0.025696172
hevc_20_210_3,1.521032309,1.108366225,1.054617636,0.958284795,0.891664649,0.843541791,0.662073694,0.644232782,0.636853998,0.58643488,0.890710276
hevc_20_224_2,0.649458811,0.645220096,0.420953851,0.361953946,0.310243061,0.290660078,0.238884123,0.21695594,0.215011606,0.214378666,0.356372018
hevc_20_228_2,24.20820727,22.70346541,21.87712122,21.67643882,18.87507086,17.90564615,15.05791415,13.1351142,10.2051619,9.439714268,17.50838542
hevc_20_232_2,0.824427977,0.775650072,0.723259549,0.720444101,0.699455442,0.627919013,0.596735279,0.594188607,0.560280537,0.537866375,0.666022695
hevc_20_279_2,3.706086581,3.111970471,2.471328842,2.32994443,2.289001656,2.225553203,2.109334652,2.05256292,1.691421578,1.624881609,2.361208594
hevc_23_9_2,0.035199203,0.033133886,0.031851928,0.031554407,0.03132684,0.026167651,0.023492008,0.023470895,0.0223837,0.020774687,0.02793552
hevc_23_27_2,0.248018787,0.232852142,0.232716369,0.229888994,0.213127086,0.201096236,0.179300456,0.177463011,0.171978372,0.161877495,0.204831895
hevc_23_34_2,1.525952138,0.821875787,0.473575902,0.460708927,0.319016991,0.275966527,0.191355369,0.167039569,0.079830878,0.065114432,0.438043652
hevc_23_67_2,2.373270108,2.338361477,2.285392734,2.089633336,1.955469881,1.651039952,1.493005461,1.189738388,1.028615703,0.936825929,1.734135297
hevc_23_110_2,208.7307004,201.464348,192.5358946,170.3464359,166.1982431,157.0199098,153.150362,140.6015941,126.5419173,121.0238495,163.7613255
hevc_23_123_2,451.1508937,450.0137814,393.7285258,345.3684155,303.1943266,301.8961461,298.3453706,296.50953,265.8954067,264.0402973,337.0142694
hevc_23_152_3,344.6813627,270.9687638,173.8257129,168.6954861,159.2144637,155.1277433,134.4501467,76.77688964,60.40475296,47.95131201,159.2096634
hevc_23_156_3,0.020985015,0.020935342,0.020853209,0.020831067,0.02082679,0.020765815,0.02050087,0.019368978,0.019037879,0.01879816,0.020290313
hevc_23_163_2,11.73062612,10.82851888,10.77661898,10.73702356,10.52679525,10.19820726,9.853731684,9.691239163,8.609514329,8.585057652,10.15373329
