Unnamed: 0,mean,mean.1,mean.2,mean.3,mean.4,mean.5
hevc_58_28_2,2249.665934244792,1559.588677300347,1465.268798828125,1632.515923394097,1480.744845920139,1390.402859157986
hevc_58_32_2,2361.168402777778,2229.889051649306,2392.083089192708,2361.3828125,2276.734809027778,2256.1396484375
hevc_58_43_2,1411.983913845486,1729.199896918403,1702.800482855903,1791.678412543403,1745.407389322917,1757.660970052083
hevc_58_51_2,1851.145073784722,1798.213731553819,1809.100830078125,1789.061821831597,1825.437581380208,1731.862358940972
hevc_58_75_5,2834.650607638889,2684.613850911458,2721.378499348958,2693.271674262152,2683.270751953125,2597.739935980903
hevc_58_100_3,3091.362820095486,3132.905815972223,3076.906358506944,3136.166259765625,3101.129231770833,3011.486843532986
hevc_58_134_3,1423.746283637153,1819.626057942708,2734.799072265625,2777.299533420139,2380.431342230903,2129.574978298611
hevc_58_149_2,2126.265570746527,2445.402208116319,2617.295871310764,2677.991021050347,2784.536376953125,2828.988905164931
hevc_58_157_3,2817.021484375,2746.721896701389,2636.300265842014,2818.649495442708,2668.501139322917,2728.318440755208
hevc_58_168_4,1308.340386284722,1222.870415581597,1633.058078342014,1764.461263020833,1507.215115017361,1350.32093641493
hevc_58_178_3,2824.654812282986,2841.70383029514,2831.940266927083,2781.841769748264,2605.904649522569,2725.439968532986
hevc_58_193_2,2388.324679904514,2493.138129340278,2509.506537543403,2572.360785590278,2414.604465060764,2701.341932508681
hevc_58_196_2,2530.106309678819,2443.346082899306,2224.674452039931,2422.972439236111,2408.036648220486,2533.978298611111
hevc_58_198_2,2550.926649305556,2489.597276475695,2684.843777126736,2618.335042317708,2564.309217664931,2764.403917100694
hevc_58_212_2,651.9111056857639,523.3413357204861,1130.194363064236,1380.449896918403,1007.305582682292,1570.201877170139
hevc_58_228_2,1625.060411241319,1838.707383897569,1829.2998046875,1817.875596788194,1654.111897786458,1857.087673611111
hevc_59_5_2,1884.734609375,1808.0703125,2087.58109375,1983.881067708333,1836.5478125,1611.294921875
hevc_59_7_2,1464.237421875,1874.117630208333,1818.502682291667,1935.693854166667,1999.493854166667,1772.912135416666
hevc_59_19_2,1717.008125,1821.51078125,1601.611770833333,1763.518072916667,1739.8759375,1612.754479166667
hevc_59_49_2,2040.280338541667,2113.508072916667,2150.747161458334,2091.336119791667,1856.575052083334,2088.454166666666
hevc_59_54_3,1529.119661458333,1327.619791666667,1430.390286458333,1275.701380208333,1820.831432291666,1189.849557291667
hevc_59_61_2,1311.364270833333,1902.315520833333,1553.003697916667,1672.554166666667,1613.707473958334,1872.086770833333
hevc_59_99_3,923.8416666666667,1489.756692708334,1075.314088541667,1175.675546875,1285.875755208333,975.2885677083334
hevc_59_106_3,2436.472890625,2479.741588541667,2383.309427083334,2503.29375,2581.002734375,2746.780598958333
hevc_59_126_2,1612.997604166666,1809.01046875,1750.678072916667,1868.52640625,1848.161614583333,1733.575078125
hevc_59_181_2,2814.897473958334,2791.729375,3234.2628125,2674.006328125,2746.946614583333,2754.925364583333
hevc_59_191_4,2138.374609375,1953.469296875,2357.571119791667,2168.223411458333,2101.410677083333,1813.165651041667
hevc_59_203_3,2263.7175,2355.665234375,2421.323463541667,2396.02015625,2350.559348958333,2383.879322916667
hevc_59_216_3,2187.262161458333,2019.819817708333,1947.701666666667,2142.271145833333,2204.345963541667,2254.79375
hevc_59_230_6,2020.710026041667,2046.103776041667,2096.902838541667,1907.010807291666,1861.26796875,2114.119192708334
hevc_60_8_4,2985.136637369792,2937.214979383681,3020.489827473958,2984.617567274306,2944.803114149305,3000.827365451389
hevc_60_13_2,2780.669704861111,2912.4462890625,2757.213080512153,2688.060167100694,2808.403076171875,2641.020399305556
hevc_60_20_2,2126.439534505208,2411.072238498264,2235.254909939236,2653.942138671875,2208.767062717014,2233.31787109375
hevc_60_29_3,2574.048909505208,2169.874186197917,2171.953884548611,2146.695068359375,2294.618869357639,2350.136176215278
hevc_60_39_2,522.2036404079861,1337.42787000868,1717.775200737847,1664.286024305555,1079.977077907986,728.4854600694446
hevc_60_49_3,2266.524712456597,2593.873426649306,2406.201171875,2334.999945746528,2389.735785590278,2421.072862413194
hevc_60_53_2,893.9574652777777,1639.533528645833,1721.974663628472,1650.477973090278,1637.097710503472,1559.83433702257
hevc_60_61_3,2640.201388888889,2554.305935329861,2585.674587673611,2676.94140625,2705.869330512152,2609.030409071181
hevc_60_65_2,2791.382975260417,2831.149169921875,2995.148166232639,2960.436225043402,2651.97802734375,2795.746392144098
hevc_60_74_2,2931.017795138889,3014.160617404514,3042.167860243056,3032.889892578125,2996.929524739583,2978.528293185764
hevc_60_82_2,2786.007134331597,2569.473470052083,2567.916232638889,2556.068060980903,2539.616102430556,2591.609076605903
hevc_60_98_4,1929.915825737847,2205.192003038194,2232.852077907986,2244.082085503472,2337.008083767361,2417.165147569444
hevc_60_102_4,1183.080593532986,2086.35791015625,1596.266357421875,2138.186116536458,2429.8583984375,1789.461968315972
hevc_60_106_3,2617.785942925347,2807.831841362847,2812.583658854166,2537.539794921875,2452.827962239583,2394.268636067708
hevc_60_112_3,1939.930040147569,1462.582600911458,1516.18861219618,1335.904893663194,1304.259928385417,1442.724229600694
hevc_60_119_2,2768.12953016493,2831.191107855903,2827.344563802083,2913.43115234375,2889.794949001736,2815.724310980903
hevc_60_122_4,2848.004855685764,2860.283610026042,2719.9873046875,2919.97007921007,3030.017768012152,2666.998942057292
hevc_60_133_2,2132.614556206597,2089.168348524306,2084.052110460069,2048.996256510417,2011.91845703125,2095.656792534722
hevc_60_137_4,1753.927137586805,1862.419135199653,1944.978000217014,1964.496961805556,1787.357150607639,1702.28955078125
hevc_60_142_3,1147.983642578125,2035.442138671875,1264.507893880208,753.3330620659722,431.6369086371528,2176.703287760417
hevc_60_151_3,756.2737087673611,1454.091824001736,1432.032986111111,1243.799614800347,1397.633490668403,1613.192057291667
hevc_60_171_2,2544.646077473958,2503.179389105903,2689.511935763889,2624.281168619792,2724.392388237847,2781.531575520833
hevc_60_176_2,1843.464219835069,978.4151746961807,979.2601996527778,1109.937174479167,1222.769558376736,1112.774793836805
hevc_60_185_2,1862.267415364583,1639.202962239583,1614.555311414931,1226.912000868056,2135.025689019097,2616.416286892361
hevc_60_195_2,453.0649142795139,538.3927408854167,1234.223714192708,1742.215060763889,2073.012858072917,2131.820610894097
hevc_60_198_2,2718.665391710069,2784.65736219618,2826.911865234375,2863.358154296875,2921.211724175347,2855.123046875
hevc_60_205_2,1080.61119249132,887.9220920138889,760.3169487847222,842.4614529079862,798.20654296875,832.9632161458333
hevc_60_217_3,2897.577772352431,3084.243245442708,3104.688639322917,3051.952256944445,3054.288492838542,3018.904703776042
hevc_60_222_2,723.1024848090278,1322.838053385417,1372.547254774306,1940.597764756944,1473.768717447917,1461.659125434028
hevc_60_226_2,1550.310655381944,1779.169813368055,1681.167643229167,1680.983588324653,1785.581108940972,1496.688585069444
hevc_60_236_4,2390.898383246527,2389.872043185764,2299.419053819444,2357.842420789931,2707.570014105903,2440.437038845486
hevc_61_10_10,2001.124050564236,2150.190266927083,2279.654568142361,2455.168918185764,2562.762776692708,2873.522677951389
hevc_61_23_8,2428.27197265625,1874.464870876736,2288.942355685764,2007.474012586806,2488.639702690973,2467.237521701389
hevc_61_52_25,431.4457736545139,576.3406032986111,673.8219401041667,307.2820095486111,478.2041286892361,170.4530707465278
hevc_61_90_40,2768.167154947917,2736.974310980903,2426.489529079861,2586.150336371527,2434.548855251736,2692.192464192708
hevc_61_133_4,812.0904405381943,869.9994574652778,543.8046603732639,644.1788736979167,645.8499348958334,536.1663140190973
hevc_61_162_17,2320.430989583333,2238.785319010417,1003.878553602431,963.76318359375,1078.746310763889,1367.3583984375
hevc_61_196_5,1640.705512152778,1589.4853515625,1384.365858289931,1181.093180338542,1352.607096354167,882.1923014322916
hevc_61_245_4,461.5092230902778,628.45068359375,883.340576171875,630.0055609809027,517.6543240017361,580.7279730902778
hevc_61_260_6,419.3743489583333,888.2472601996528,838.3797471788195,918.6380208333333,990.0815700954861,354.0106879340278
hevc_61_267_10,2163.189860026042,2365.282145182292,2369.564507378472,2251.287543402778,523.5232476128473,530.5486111111111
hevc_61_279_15,508.6829427083334,827.8658854166666,789.4627549913196,679.7349989149305,1101.162217881944,468.0186631944445
hevc_61_326_4,1962.46986219618,1733.698323567708,2047.530626085069,1932.113986545139,1697.968587239583,1633.200466579861
hevc_61_343_23,1358.23130967882,1815.761474609375,1288.410753038194,1687.201443142361,870.6239691840277,2205.156439887153
hevc_61_385_35,2425.881646050347,2318.677381727431,2403.520887586806,2373.857720269097,2459.521050347222,1989.537326388889
hevc_61_430_28,1531.228976779514,2027.150933159722,1979.010009765625,1930.186008029514,1639.15394422743,1610.503607855903
hevc_61_489_27,2462.781114366319,2512.755723741319,2469.104790581597,2417.322401258681,2478.315131293403,1977.704725477431
hevc_61_524_51,2169.207112630208,2166.485432942708,2059.875840928819,1894.795464409722,2138.659776475694,2350.728569878472
hevc_61_589_48,195.6141764322917,126.8633083767361,143.9049207899305,199.4355740017361,290.2711046006944,310.7373318142361
hevc_61_724_28,1687.084445529514,1537.224365234375,708.7926161024307,748.2711317274305,435.8209364149305,903.8580729166667
hevc_61_890_12,2233.219156901042,2324.044596354167,2256.197916666667,2588.506130642361,2125.6552734375,2349.784396701389
hevc_63_7_20,1462.727994791667,1779.71806640625,1466.822916666667,1598.923046875,1588.418977864583,1912.650716145833
hevc_63_60_2,2971.8298828125,3056.229850260417,2996.157194010416,2661.28125,2899.57314453125,2711.126627604167
hevc_63_80_6,1573.7416015625,2194.2376953125,1825.167252604167,2597.940104166667,2273.089225260417,2251.163997395833
hevc_67_0_3,0.0,2477.947048611111,2757.852620442708,2899.041124131945,2858.755669487847,2830.230523003473
