scene,lap2_meanmean,lap2_meanstd,lap2_meanmax,lap2_meanmin,lap2_meanmedian,lap2_stdmean,lap2_stdstd,lap2_stdmax,lap2_stdmin,lap2_stdmedian,bitrate2,ssim2,,label
clip_24,6.948015897,2.250992839,11.1173824,3.130934459,7.957028008,6.470694965,2.238460922,10.57717228,2.613777637,7.394497633,221.14,0.9800793,,0
clip_25,10.05430536,3.367985631,17.31829318,1.78650299,10.55203195,9.328494908,2.978465078,15.57989216,1.697018623,9.818321228,483.68,0.9730095,,0
clip_26,9.72625457,5.090028318,23.57659636,3.506795009,8.093349749,9.081045383,4.727199672,22.20476723,3.091716766,7.633610725,517.71,0.9800187,,0
clip_27,6.628423177,4.166209413,17.44389899,0,5.287298948,5.627567578,3.412974379,14.53996658,0,4.628706455,196.55,0.9829964,,0
clip_28,1.630659658,1.033509813,2.689633875,0,2.247875024,1.334192547,0.851483906,2.310353279,0,1.840497136,31.3,0.9944239,,0
clip_29,5.462394505,1.109054602,9.75970641,4.146663768,5.245052163,4.759648618,1.107606034,9.146812439,3.584653378,4.471644878,214.1,0.9838823,,0
clip_30,2.552651542,0.156768312,2.967366428,2.237311827,2.533754499,2.401546825,0.159069472,2.819331169,2.089011192,2.388013601,55.32,0.9934488,,0
clip_31,9.955044452,1.142458763,12.28240915,8.40690389,9.464000266,9.367655997,1.158045008,11.74166203,7.879888058,8.865550995,165.99,0.9867576,,0
clip_32,12.47998017,0.242981363,13.36432999,12.16914997,12.42368301,11.89711457,0.308062269,12.97831821,11.49122524,11.85647011,85.03,0.9871325,,0
clip_33,14.0242509,0.328420879,14.69200708,13.66901756,13.88977968,13.28836175,0.364070441,14.04808903,12.86314869,13.14588737,83.45,0.9850305,,0
clip_34,9.710368883,0.286710597,10.48168037,9.435130245,9.548193109,9.162304939,0.319358589,9.881281853,8.866009712,8.971507072,71.5,0.9908318,,0
clip_35,9.944267469,1.562992289,14.74647816,8.42486938,9.452502774,9.292514119,1.602109421,14.18674374,7.788227081,8.683441162,81.46,0.9910545,,0
clip_36,13.93339721,0.737866678,15.15383407,12.35383044,13.59074702,13.26375066,0.740919068,14.48616982,11.77788353,12.89697838,228.56,0.9849325,,0
clip_37,14.62174711,0.442698601,15.49043668,13.01254723,14.62338634,13.89391575,0.558203205,14.95956898,12.10270882,13.80924797,188.69,0.9882448,,0
clip_38,12.0782567,1.906367324,15.23278537,9.304385753,11.21229882,10.64821167,1.997125616,13.98844624,7.828777313,9.822864532,423.1,0.9696449,,0
clip_39,13.25433888,1.639026708,16.64972426,9.595495407,13.2353302,12.24130931,1.322172184,15.20216656,9.226863861,12.33501148,243.18,0.9863479,,0
clip_40,17.50269385,0.624969282,19.14218584,16.43721687,17.26490206,14.72494583,0.551344717,16.09658813,13.95658684,14.49866724,501.89,0.9729134,,0
clip_41,10.97548876,3.016894775,15.16526844,5.154285588,11.48107215,9.612835838,3.178480841,13.90769291,3.607014179,10.24471664,79.51,0.9907136,,0
clip_42,8.486512825,2.50358636,13.33819708,4.576550731,8.302710254,7.631008427,2.395854646,12.27944088,3.830298424,7.436701775,101.16,0.9877599,,0
clip_43,39.19002937,1.9421457,43.32092327,34.80252782,39.26271502,34.91819003,1.600027462,37.86781693,31.07390213,35.00876617,717.7,0.9538982,,0
clip_44,6.606654187,0.736457475,8.340070163,5.252196988,6.593060078,5.843086674,0.733848335,7.541273117,4.469126225,5.830733299,123.35,0.9844996,,0
clip_45,5.725485694,1.826510975,10.30064497,3.878462444,4.998305664,4.784723874,2.088599868,9.807667732,3.023354292,3.722451568,91.45,0.9913414,,0
clip_46,6.971722398,2.110417741,10.85453959,2.944681196,6.972622877,3.562875614,1.454154961,7.019149303,1.47145617,2.986044645,305.37,0.9807475,,0
clip_47,33.64171117,9.13583577,58.82993648,13.57623973,34.03628468,28.29632856,7.014862254,46.93790436,11.65572929,28.76613045,1471.02,0.9152243,,0
clip_48,33.80221074,0.074404008,34.00037877,33.63116376,33.78553901,29.28034993,0.043242694,29.3701973,29.18710518,29.27419186,246.96,0.985623,,0
clip_49,10.28383453,0.19405623,10.57402683,9.998689184,10.26415745,8.44165454,0.113506538,8.625557899,8.257718086,8.433801651,100.9,0.9758223,,0
